,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,36272,37.0,4.7,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.52025705942
1,40504,23.0,4.7,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.52025705942
2,5519,26.0,4.8,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,21,20002.52025705942
3,35719,26.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.520257046745
4,24846,26.0,4.9,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,15,20002.520257046745
5,21143,33.0,3.6,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,39,20002.520257046745
6,39958,36.0,4.0,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,43,20002.520257046745
7,45162,32.0,4.6,Stormy,High,0,Drinks,motorcycle,2.0,No,Urban,35,20002.520257042732
8,13289,25.0,4.7,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.52025703843
9,27106,31.0,4.9,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,24,20002.52025703843
10,37775,21.0,4.9,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520257037824
11,35508,26.0,4.6,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20002.520257037824
12,29470,20.0,4.8,Fog,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,20002.520257037824
13,30188,38.0,5.0,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,26,20002.520257032207
14,21625,21.0,4.2,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520257032207
15,24559,28.0,4.6,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Urban,26,20002.520257032207
16,43721,27.0,4.5,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,20002.52025703129
